match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
cc8e0837,Inter,Edin Džeko,9,BIH,FW,37-033,75,0,0,0,0,3,0,0,0,33,0,0,1,0.1,0.1,0.0,3,0,11,22,50.0,1,13,0,1,1
cc8e0837,Inter,Romelu Lukaku,90,BEL,FW,29-341,15,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,0,0
cc8e0837,Inter,Lautaro Martínez,10,ARG,FW,25-240,75,1,1,0,0,2,1,0,0,29,1,0,2,0.7,0.7,0.1,2,1,16,18,88.9,3,14,2,5,3
cc8e0837,Inter,Joaquín Correa,11,ARG,FW,28-249,15,1,0,0,0,1,1,0,0,5,0,0,0,0.1,0.1,0.0,1,1,2,3,66.7,1,4,0,1,1
cc8e0837,Inter,Henrikh Mkhitaryan,22,ARM,CM,34-088,90,0,0,0,0,1,0,0,0,48,3,1,1,0.0,0.0,0.1,4,1,30,38,78.9,4,23,3,4,1
cc8e0837,Inter,Marcelo Brozović,77,CRO,CM,30-154,90,0,0,0,0,0,0,0,0,64,2,0,3,0.0,0.0,0.0,1,0,49,56,87.5,3,39,0,0,0
cc8e0837,Inter,Nicolò Barella,23,ITA,CM,26-071,75,1,0,0,0,1,1,0,0,40,2,0,1,0.1,0.1,0.0,1,0,21,31,67.7,1,21,2,1,0
cc8e0837,Inter,Hakan Çalhanoğlu,20,TUR,CM,29-070,15,0,0,0,0,0,0,0,0,7,1,1,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0
cc8e0837,Inter,Federico Dimarco,32,ITA,WB,25-160,79,0,2,0,0,2,0,0,0,59,0,3,2,0.1,0.1,0.8,3,2,32,47,68.1,3,27,4,1,0
cc8e0837,Inter,Robin Gosens,8,GER,WB,28-288,11,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,3,5,60.0,0,4,0,0,0
cc8e0837,Inter,Denzel Dumfries,2,NED,WB,27-001,90,0,0,0,0,0,0,0,0,50,1,1,4,0.0,0.0,0.1,2,0,22,38,57.9,0,17,3,1,0
cc8e0837,Inter,Alessandro Bastoni,95,ITA,CB,24-006,79,0,0,0,0,1,0,0,0,61,4,1,2,0.1,0.1,0.0,1,0,38,51,74.5,5,41,2,0,0
cc8e0837,Inter,Danilo D'Ambrosio,33,ITA,CB,34-222,11,0,0,0,0,0,0,0,0,12,0,2,0,0.0,0.0,0.0,0,0,5,7,71.4,0,4,0,0,0
cc8e0837,Inter,Francesco Acerbi,15,ITA,CB,35-068,90,0,0,0,0,0,0,0,0,61,0,3,1,0.0,0.0,0.0,0,0,46,53,86.8,2,30,0,1,1
cc8e0837,Inter,Matteo Darmian,36,ITA,CB,33-138,90,0,0,0,0,0,0,0,0,58,3,1,1,0.0,0.0,0.0,0,0,41,50,82.0,2,40,0,1,1
cc8e0837,Inter,André Onana,24,CMR,GK,27-017,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,1,0,33,40,82.5,0,33,0,0,0
cc8e0837,Benfica,Gonçalo Ramos,88,POR,FW,21-303,73,0,0,0,0,1,0,0,0,22,0,0,1,0.1,0.1,0.0,0,0,10,14,71.4,1,14,1,1,0
